Evaluated_Equity,Cash_Balance,Total_Assets,ROI_Pct,Date
0.0,100000.0,100000.0,0.00%,2026-03-30
89681.59,10298.46,99980.04,-0.02%,2026-03-31
99613.45,324.14,99937.59,-0.06%,2026-04-01
98981.07,324.14,99305.21,-0.69%,2026-04-02
98928.62,324.14,99252.76,-0.75%,2026-04-03
98928.62,324.14,99252.76,-0.75%,2026-04-06
98881.14,324.14,99205.28,-0.79%,2026-04-07
99944.51,324.14,100268.65,0.27%,2026-04-08
100632.06,324.14,100956.2,0.96%,2026-04-09
100012.01,324.14,100336.15,0.34%,2026-04-10
78899.31,21791.7,100691.01,0.69%,2026-04-13
79074.13,21791.7,100865.82,0.87%,2026-04-14
89181.09,11820.98,101002.08,1.00%,2026-04-15
89941.38,11820.98,101762.36,1.76%,2026-04-16
89822.51,11820.98,101643.49,1.64%,2026-04-17
89974.0,11820.98,101794.98,1.79%,2026-04-20
89785.74,11820.98,101606.73,1.61%,2026-04-21
91346.69,11820.98,103167.67,3.17%,2026-04-22
90397.11,13117.31,103514.42,3.51%,2026-04-23
98768.43,3119.59,101888.02,1.89%,2026-04-24
99405.4,3119.59,102524.99,2.52%,2026-04-27
98502.62,3119.59,101622.21,1.62%,2026-04-28
98806.79,3119.59,101926.38,1.93%,2026-04-29
99949.41,3119.59,103069.0,3.07%,2026-04-30
100046.22,3119.59,103165.81,3.17%,2026-05-01
99272.23,3942.36,103214.59,3.21%,2026-05-04
99531.07,3942.36,103473.43,3.47%,2026-05-05
99139.72,3942.36,103082.08,3.08%,2026-05-06
97982.71,3942.36,101925.08,1.93%,2026-05-07
97607.37,3942.36,101549.73,1.55%,2026-05-08
97347.34,3942.36,101289.7,1.29%,2026-05-11
97435.49,3942.36,101377.85,1.38%,2026-05-12
96489.56,3942.36,100431.92,0.43%,2026-05-13
95759.21,3942.36,99701.57,-0.30%,2026-05-14
94960.87,3942.36,98903.23,-1.10%,2026-05-15
96078.9,3942.36,100021.26,0.02%,2026-05-18
95459.09,4424.37,99883.46,-0.12%,2026-05-19
96330.68,4424.37,100755.05,0.76%,2026-05-20
98179.02,4424.37,102603.39,2.60%,2026-05-21
99374.61,4424.37,103798.98,3.80%,2026-05-22
99595.56,4424.37,104019.93,4.02%,2026-05-25
99595.56,4424.37,104019.93,4.02%,2026-05-26
99075.69,4424.37,103500.07,3.50%,2026-05-27
98885.54,4424.37,103309.91,3.31%,2026-05-28
98708.13,4424.37,103132.5,3.13%,2026-05-29
99209.19,4424.37,103633.57,3.63%,2026-06-01
98045.76,5694.08,103739.83,3.74%,2026-06-02
96082.36,7797.8,103880.16,3.88%,2026-06-03
97146.53,7797.8,104944.33,4.94%,2026-06-04
96168.55,7797.8,103966.34,3.97%,2026-06-05
96269.48,7797.8,104067.28,4.07%,2026-06-08
97808.51,7797.8,105606.31,5.61%,2026-06-09
98591.78,7797.8,106389.58,6.39%,2026-06-10
99984.47,7797.8,107782.26,7.78%,2026-06-11
88154.25,20806.33,108960.57,8.96%,2026-06-12
88295.74,20806.33,109102.07,9.10%,2026-06-15
76540.63,32813.24,109353.87,9.35%,2026-06-16
85175.08,22866.54,108041.62,8.04%,2026-06-17
95104.32,12920.61,108024.93,8.02%,2026-06-18
103694.57,3020.17,106714.73,6.71%,2026-06-19
103694.57,3020.17,106714.73,6.71%,2026-06-22
102684.61,3787.93,106472.54,6.47%,2026-06-23
102502.35,3787.93,106290.28,6.29%,2026-06-24
102234.27,3787.93,106022.2,6.02%,2026-06-25
102236.76,3787.93,106024.69,6.02%,2026-06-26
101261.21,3787.93,105049.14,5.05%,2026-06-29
100064.15,3787.93,103852.08,3.85%,2026-06-30
99844.54,3787.93,103632.47,3.63%,2026-07-01
101438.87,3787.93,105226.8,5.23%,2026-07-02
102343.47,3787.93,106131.4,6.13%,2026-07-03
102343.47,3787.93,106131.4,6.13%,2026-07-06
102856.69,3787.93,106644.61,6.64%,2026-07-07
101462.59,3787.93,105250.52,5.25%,2026-07-08
102389.1,3787.93,106177.03,6.18%,2026-07-09
102782.04,3787.93,106569.97,6.57%,2026-07-10
102460.02,3787.93,106247.95,6.25%,2026-07-13
102594.56,3787.93,106382.49,6.38%,2026-07-14
102312.47,3787.93,106100.4,6.10%,2026-07-15
103444.95,3787.93,107232.88,7.23%,2026-07-16
103795.17,3787.93,107583.1,7.58%,2026-07-17
102592.45,3787.93,106380.38,6.38%,2026-07-20
102690.73,3787.93,106478.66,6.48%,2026-07-21
103078.66,3787.93,106866.59,6.87%,2026-07-22
102247.34,3787.93,106035.27,6.04%,2026-07-23
103142.9,3787.93,106930.83,6.93%,2026-07-24
104294.28,3787.93,108082.21,8.08%,2026-07-27
106364.03,3787.93,110151.96,10.15%,2026-07-28
105825.15,3787.93,109613.08,9.61%,2026-07-29
104753.87,3787.93,108541.79,8.54%,2026-07-30
103347.01,3787.93,107134.93,7.13%,2026-07-31
104275.36,3787.93,108063.29,8.06%,2026-08-03
106037.59,3787.93,109825.51,9.83%,2026-08-04
105529.68,3787.93,109317.6,9.32%,2026-08-05
106485.2,3787.93,110273.13,10.27%,2026-08-06
107798.09,3787.93,111586.02,11.59%,2026-08-07
108711.84,3787.93,112499.77,12.50%,2026-08-10
108224.86,3787.93,112012.79,12.01%,2026-08-11
108045.36,3787.93,111833.29,11.83%,2026-08-12
108590.39,3787.93,112378.32,12.38%,2026-08-13
109275.08,3787.93,113063.01,13.06%,2026-08-14
108159.57,3787.93,111947.5,11.95%,2026-08-17
107976.09,3787.93,111764.02,11.76%,2026-08-18
108952.38,3787.93,112740.31,12.74%,2026-08-19
108419.51,3787.93,112207.44,12.21%,2026-08-20
