Date,Ticker,Shares,Buy_Price,Status,Buy_Date,Holding_Days,Sell_Date,Sell_Price,Invested_Amount,Net_Profit,Current_Valuation,ROI
2026-08-03,WU,1168.0,8.56,持有,2026-03-31,125,-,-,9999.84,-2349.44,7650.4,-23.49%
2026-08-03,BCE,397.0,25.17,持有,2026-03-31,125,-,-,9992.86,-1342.23,8650.63,-13.43%
2026-08-03,MPLX,183.0,54.5,持有,2026-04-01,124,-,-,9974.32,614.05,10588.36,6.16%
2026-08-03,APA,275.0,36.26,持有,2026-04-15,110,-,-,9970.71,168.54,10139.25,1.69%
2026-08-03,JBS,641.0,15.6,持有,2026-04-24,101,-,-,9997.72,-1177.56,8820.16,-11.78%
2026-08-03,RL,27.0,360.06,持有,2026-05-04,91,-,-,9721.63,542.96,10264.59,5.59%
2026-08-03,AGI,257.0,38.84,持有,2026-06-03,61,-,-,9982.32,-2606.42,7375.9,-26.11%
2026-08-03,ALV,83.0,120.44,持有,2026-06-17,47,-,-,9996.74,204.29,10201.02,2.04%
2026-08-03,DECK,92.0,108.11,持有,2026-06-18,46,-,-,9945.94,-791.94,9154.0,-7.96%
2026-08-03,LOGI,93.0,106.46,持有,2026-06-19,45,-,-,9900.44,-125.21,9775.23,-1.26%
2026-08-03,NTAP,64.0,154.25,持有,2026-06-23,41,-,-,9871.75,1835.13,11706.88,18.59%
2026-08-04,WU,1168.0,8.56,持有,2026-03-31,126,-,-,9999.84,-1461.76,8538.08,-14.62%
2026-08-04,BCE,397.0,25.17,持有,2026-03-31,126,-,-,9992.86,-1258.86,8734.0,-12.60%
2026-08-04,MPLX,183.0,54.5,持有,2026-04-01,125,-,-,9974.32,901.63,10875.94,9.04%
2026-08-04,APA,275.0,36.26,持有,2026-04-15,111,-,-,9970.71,-125.71,9845.0,-1.26%
2026-08-04,JBS,641.0,15.6,持有,2026-04-24,102,-,-,9997.72,-1273.71,8724.01,-12.74%
2026-08-04,RL,27.0,360.06,持有,2026-05-04,92,-,-,9721.63,482.21,10203.84,4.96%
2026-08-04,AGI,257.0,38.84,持有,2026-06-03,62,-,-,9982.32,-2591.0,7391.32,-25.96%
2026-08-04,ALV,83.0,120.44,持有,2026-06-17,48,-,-,9996.74,270.22,10266.96,2.70%
2026-08-04,DECK,92.0,108.11,持有,2026-06-18,47,-,-,9945.94,-757.9,9188.04,-7.62%
2026-08-04,LOGI,93.0,106.46,持有,2026-06-19,46,-,-,9900.44,231.91,10132.35,2.34%
2026-08-04,NTAP,64.0,154.25,持有,2026-06-23,42,-,-,9871.75,2317.69,12189.44,23.48%
2026-08-05,WU,1168.0,8.56,持有,2026-03-31,127,-,-,9999.84,-1520.16,8479.68,-15.20%
2026-08-05,BCE,397.0,25.17,持有,2026-03-31,127,-,-,9992.86,-1235.04,8757.82,-12.36%
2026-08-05,MPLX,183.0,54.5,持有,2026-04-01,126,-,-,9974.32,682.35,10656.67,6.84%
2026-08-05,APA,275.0,36.26,持有,2026-04-15,112,-,-,9970.71,-439.21,9531.5,-4.41%
2026-08-05,JBS,641.0,15.6,持有,2026-04-24,103,-,-,9997.72,-1216.02,8781.7,-12.16%
2026-08-05,RL,27.0,360.06,持有,2026-05-04,93,-,-,9721.63,559.43,10281.06,5.75%
2026-08-05,AGI,257.0,38.84,持有,2026-06-03,63,-,-,9982.32,-1945.93,8036.39,-19.49%
2026-08-05,ALV,83.0,120.44,持有,2026-06-17,49,-,-,9996.74,149.89,10146.63,1.50%
2026-08-05,DECK,92.0,108.11,持有,2026-06-18,48,-,-,9945.94,-809.42,9136.52,-8.14%
2026-08-05,LOGI,93.0,106.46,持有,2026-06-19,47,-,-,9900.44,-70.34,9830.1,-0.71%
2026-08-05,NTAP,64.0,154.25,持有,2026-06-23,43,-,-,9871.75,2070.65,11942.4,20.98%
2026-08-06,WU,1168.0,8.56,持有,2026-03-31,128,-,-,9999.84,-1636.96,8362.88,-16.37%
